Month,Department,AvgProductivity,TasksCompleted
Feb,Engineering,77.28,67
Oct,Operations,57.4,36
Jan,Marketing,68.23,25
Jun,Sales,84.1,105
Feb,Support,89.01,72
Oct,Engineering,96.29,50
Mar,Engineering,94.07,23
Mar,Support,89.12,72
Nov,Sales,63.34,120
Dec,Finance,69.13,24
Aug,Sales,59.98,78
Jun,Marketing,91.03,49
Apr,HR,83.0,71
Jun,Marketing,93.22,118
May,Support,82.07,71
Nov,Operations,66.56,23
Feb,Marketing,58.93,53
Jan,Finance,79.83,64
Dec,Support,71.82,85
Feb,Product,94.98,44
May,HR,85.44,20
Sep,Operations,84.34,114
Dec,Sales,68.21,28
Nov,Support,81.16,104
Feb,Marketing,75.36,105
Jul,Support,70.12,57
Sep,Engineering,59.59,105
Jul,Engineering,80.78,58
Jul,Operations,91.69,58
May,Sales,71.49,94
Oct,Support,73.25,76
Nov,Sales,75.56,114
Mar,Finance,64.19,104
Nov,Legal,66.76,116
Apr,Marketing,61.23,45
Mar,HR,52.31,80
Oct,Finance,72.77,100
Oct,Sales,85.92,69
Aug,Product,62.2,103
Dec,HR,94.63,118
Feb,Product,60.94,109
Sep,Design,52.51,51
Feb,Design,56.67,79
Nov,Operations,99.39,96
Jun,Design,80.63,112
Sep,Product,91.53,90
Aug,Engineering,87.18,80
Aug,Marketing,87.59,101
May,Operations,74.23,50
May,Design,53.87,56
Apr,Marketing,66.79,89
Feb,Engineering,57.54,69
Dec,Engineering,85.32,28
Jul,Product,66.54,79
Jul,HR,60.34,73
Jul,Legal,97.3,22
Oct,Product,73.85,65
May,Product,92.67,73
Sep,Operations,89.99,48
Aug,Sales,63.65,82
Jan,Product,66.81,106
Jul,Engineering,92.03,36
Oct,Operations,51.35,70
Oct,Legal,83.15,30
Nov,Product,56.78,79
Mar,HR,63.01,61
Apr,Design,66.34,117
Jul,Marketing,87.6,73
May,Finance,73.52,115
Sep,HR,100.0,64
Apr,Finance,89.06,103
Jan,HR,97.48,45
Jan,Legal,57.62,36
Aug,Finance,78.2,47
Aug,Marketing,88.34,41
Oct,Legal,98.19,111
Feb,Engineering,98.24,33
Oct,HR,96.44,93
Nov,Product,69.83,111
Apr,Finance,79.6,100
Apr,Finance,84.86,58
Nov,Legal,90.28,92
Jan,Support,76.64,104
Jun,Finance,75.3,63
Jan,Product,91.12,33
Jul,Support,81.78,78
Dec,Engineering,71.77,113
Sep,Marketing,80.8,88
Aug,Design,71.78,113
Oct,Marketing,66.12,51
Feb,Marketing,94.08,51
Aug,Legal,80.52,68
Jun,HR,74.72,61
Mar,Design,60.61,53
Jun,Marketing,94.02,109
May,Operations,50.51,44
Feb,Sales,86.0,82
Sep,Sales,84.53,102
Dec,Design,72.41,22
Feb,Marketing,61.08,108
